1,ХљРђ27ФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Сж3Х\Б@ФNЧоБi5НќКKЛЙБjБCТjПЧХ РlМыБCСНФNЧоЛyВ—ХљЛѕФNЧо(КOНСРlБ\УЅМfБjБ|ТђТЪБEОЪУЩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) УъЦ{РlБEКOНСРlВћХ БuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) Ц≥НСР–ЛyВ—НСЦЉБuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,СНРФБiТjПЧХ Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ПЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ОsЛжТђСЇГRБ[Гh,ТђТЪОЪГRБ[Гh,ТnИжОѓХ Ф‘НЖ,ФйУљПИЧЭ,ФйУљРжПоХс,НЗОZТnИж,УsУєХ{МІЦЉ,ОsЛжТђСЇЦЉ,СеОЪБEТђЦЉ,ОЪБEТЪЦЏЦЉ,СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2)
487,"44201","193011","3","","","","СеХ™МІ","СеХ™Оs","СеОЪУcРK","В”ВґВ™ЛuРЉБiУcРKБj",693,25,34,37,26,21,11,28,47,47,33,42,38,49,78,67,54,32,19,5,-,-,-,34343,50.0569985570,96,342,255,110,24,1,316,12,7,21,14,11,6,12,21,28,15,18,15,22,36,30,27,14,6,1,-,-,-,15522,49.6202531646,40,162,114,48,7,-,377,13,27,16,12,10,5,16,26,19,18,24,23,27,42,37,27,18,13,4,-,-,-,18821,50.4230769231,56,180,141,62,17,1
488,"44201","1940","2","","","","СеХ™МІ","СеХ™Оs","СеОЪНВР£","",165,4,3,6,6,4,5,5,4,11,5,9,9,12,28,19,9,11,11,2,1,-,1,9268,57.0121951220,13,70,81,34,14,-,76,-,1,3,1,2,4,1,3,5,3,5,4,6,13,10,4,5,3,1,1,-,1,4336,58.3133333333,4,34,37,14,5,-,89,4,2,3,5,2,1,4,1,6,2,4,5,6,15,9,5,6,8,1,-,-,-,4932,55.9157303371,9,36,44,20,9,-
489,"44201","1950","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙ™Рм","",1707,57,108,206,176,60,43,44,111,208,201,145,68,70,71,43,28,31,29,7,1,-,-,63928,37.9504979496,371,1126,210,96,37,2,812,25,58,96,91,30,18,21,53,89,96,77,38,36,28,21,10,12,11,2,-,-,-,29818,37.2216748768,179,549,84,35,13,1,895,32,50,110,85,30,25,23,58,119,105,68,30,34,43,22,18,19,18,5,1,-,-,34110,38.6117318436,192,577,126,61,24,1
490,"44201","1970","2","","","","СеХ™МІ","СеХ™Оs","СеОЪК¶Уc","",6467,266,312,274,344,323,290,368,420,400,309,345,436,534,616,452,260,211,143,70,20,5,69,293631,46.3941856830,852,3769,1777,709,238,30,3059,138,161,141,181,200,139,183,194,193,134,145,196,224,284,219,131,91,42,16,3,1,43,132047,44.2821618037,440,1789,787,284,62,14,3408,128,151,133,163,123,151,185,226,207,175,200,240,310,332,233,129,120,101,54,17,4,26,161584,48.2776463631,412,1980,990,425,176,16
491,"44201","197001","3","","","","СеХ™МІ","СеХ™Оs","СеОЪК¶Уc","БiВ§ВњТЪОЪЦЉЦҐХ\О¶ЛжИжБj",2934,129,129,101,183,217,173,174,173,196,133,177,230,243,209,127,64,88,84,48,15,4,37,127615,44.5507421470,359,1899,639,303,151,3,1450,65,71,53,99,146,85,92,86,103,60,80,108,117,100,70,30,29,21,10,2,-,23,58644,41.5960056062,189,976,262,92,33,3,1484,64,58,48,84,71,88,82,87,93,73,97,122,126,109,57,34,59,63,38,13,4,14,68971,47.4190476190,170,923,377,211,118,-
492,"44201","197002","3","","","","СеХ™МІ","СеХ™Оs","СеОЪК¶Уc","К¶УcЦkТђ",1121,36,55,56,51,39,41,41,82,61,60,49,56,93,121,88,92,59,28,8,2,-,3,54897,49.6028622540,147,573,398,189,38,1,495,20,24,24,24,24,18,15,33,25,23,24,26,31,52,41,45,29,11,3,1,-,2,23972,49.1247464503,68,243,182,89,15,-,626,16,31,32,27,15,23,26,49,36,37,25,30,62,69,47,47,30,17,5,1,-,1,30925,49.9800000000,79,330,216,100,23,1
493,"44201","197003","3","","","","СеХ™МІ","СеХ™Оs","СеОЪК¶Уc","К¶УcУмТђ",2065,66,99,111,105,62,62,116,128,124,109,113,131,158,259,212,90,50,25,12,3,1,29,96132,47.7161100196,276,1108,652,181,41,26,945,34,50,61,55,27,28,59,56,56,46,40,55,60,116,96,50,27,7,3,-,1,18,42468,46.3122977346,145,482,300,88,11,11,1120,32,49,50,50,35,34,57,72,68,63,73,76,98,143,116,40,23,18,9,3,-,11,53664,48.8895401262,131,626,352,93,30,15
494,"44201","197004","3","","","","СеХ™МІ","СеХ™Оs","СеОЪК¶Уc","К¶УcВнВ©ВќСд",221,7,2,2,4,5,11,14,11,8,6,6,18,39,27,25,14,14,6,2,-,-,-,12274,56.0384615385,11,122,88,36,8,-,100,2,2,-,2,3,7,5,6,3,4,1,6,16,16,12,6,6,3,-,-,-,-,5531,55.8100000000,4,53,43,15,3,-,121,5,-,2,2,2,4,9,5,5,2,5,12,23,11,13,8,8,3,2,-,-,-,6743,56.2272727273,7,69,45,21,5,-
495,"44201","197005","3","","","","СеХ™МІ","СеХ™Оs","СеОЪК¶Уc","К¶УcЦkТђ",126,28,27,4,1,-,3,23,26,11,1,-,1,1,-,-,-,-,-,-,-,-,-,2713,22.0317460317,59,67,-,-,-,-,69,17,14,3,1,-,1,12,13,6,1,-,1,-,-,-,-,-,-,-,-,-,-,1432,21.2536231884,34,35,-,-,-,-,57,11,13,1,-,-,2,11,13,5,-,-,-,1,-,-,-,-,-,-,-,-,-,1281,22.9736842105,25,32,-,-,-,-
496,"44201","1980","2","","","","СеХ™МІ","СеХ™Оs","СеОЪТUЦмМі","",5288,136,197,227,734,1432,241,199,235,319,237,240,233,183,162,123,105,68,47,23,5,2,140,171571,33.8277000777,560,4053,535,250,77,70,3010,69,108,132,427,943,148,99,135,163,116,112,124,94,94,53,43,34,17,3,-,1,95,91554,31.9078902230,309,2361,245,98,21,31,2278,67,89,95,307,489,93,100,100,156,121,128,109,89,68,70,62,34,30,20,5,1,45,80017,36.3338557994,251,1692,290,152,56,39
497,"44201","1991","2","","","","СеХ™МІ","СеХ™Оs","Х~МЋСд","",716,39,26,22,14,21,30,49,57,39,24,36,94,117,97,17,14,9,8,1,1,-,1,33422,47.2440559441,87,481,147,33,10,1,352,18,11,11,7,12,15,21,26,20,13,15,44,56,60,9,5,4,4,-,-,-,1,16612,47.8276353276,40,229,82,13,4,1,364,21,15,11,7,9,15,28,31,19,11,21,50,61,37,8,9,5,4,1,1,-,-,16810,46.6813186813,47,252,65,20,6,-
498,"44201","199101","3","","","","СеХ™МІ","СеХ™Оs","Х~МЋСд","ВPТЪЦЏ",128,24,17,3,-,-,3,17,29,12,3,5,5,4,1,1,-,1,2,-,1,-,-,3829,30.4140625000,44,78,6,4,3,-,63,11,6,1,-,-,2,8,13,8,2,4,4,2,-,1,-,-,1,-,-,-,-,2013,32.4523809524,18,43,2,1,1,-,65,13,11,2,-,-,1,9,16,4,1,1,1,2,1,-,-,1,1,-,1,-,-,1816,28.4384615385,26,35,4,3,2,-
499,"44201","199102","3","","","","СеХ™МІ","СеХ™Оs","Х~МЋСд","ВQТЪЦЏ",588,15,9,19,14,21,27,32,28,27,21,31,89,113,96,16,14,8,6,1,-,-,1,29593,50.9139693356,43,403,141,29,7,1,289,7,5,10,7,12,13,13,13,12,11,11,40,54,60,8,5,4,3,-,-,-,1,14599,51.1909722222,22,186,80,12,3,1,299,8,4,9,7,9,14,19,15,15,10,20,49,59,36,8,9,4,3,1,-,-,-,14994,50.6471571906,21,217,61,17,4,-
500,"44201","1992","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙХЦм","",3659,105,123,117,336,510,197,199,186,200,173,169,251,278,264,164,115,87,55,35,8,1,86,149210,42.2604254128,345,2499,729,301,99,28,1923,50,71,59,217,349,103,104,86,93,86,71,115,138,130,74,64,30,18,10,1,1,53,72890,39.4786096257,180,1362,328,124,30,13,1736,55,52,58,119,161,94,95,100,107,87,98,136,140,134,90,51,57,37,25,7,-,33,76320,45.3150322959,165,1137,401,177,69,15
501,"44201","2000","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЛ{Ни","",1951,40,58,45,64,88,102,91,96,101,99,109,123,163,220,177,127,104,78,28,15,3,20,101798,53.2177628172,143,1036,752,355,124,2,956,21,38,29,38,35,48,44,51,60,48,58,60,83,103,94,61,39,24,8,3,-,11,47668,50.9423280423,88,525,332,135,35,-,995,19,20,16,26,53,54,47,45,41,51,51,63,80,117,83,66,65,54,20,12,3,9,54130,55.3985801217,55,511,420,220,89,2
502,"44201","200001","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЛ{Ни","БiВ§ВњТЪОЪЦЉЦҐХ\О¶ЛжИжБj",921,13,20,16,29,69,71,47,44,42,53,57,69,72,66,47,50,53,51,24,12,3,13,47106,52.3788546256,49,553,306,193,90,1,445,7,12,10,22,26,26,20,24,24,28,33,42,45,38,19,20,19,14,7,2,-,7,21661,49.9543378995,29,290,119,62,23,-,476,6,8,6,7,43,45,27,20,18,25,24,27,27,28,28,30,34,37,17,10,3,6,25445,54.6382978723,20,263,187,131,67,1
503,"44201","200002","3","","","","СеХ™МІ","СеХ™Оs","СеОЪЛ{Ни","Л{НиСд",1030,27,38,29,35,19,31,44,52,59,46,52,54,91,154,130,77,51,27,4,3,-,7,54692,53.9623655914,94,483,446,162,34,1,511,14,26,19,16,9,22,24,27,36,20,25,18,38,65,75,41,20,10,1,1,-,4,26007,51.7958579882,59,235,213,73,12,-,519,13,12,10,19,10,9,20,25,23,26,27,36,53,89,55,36,31,17,3,2,-,3,28685,56.0910852713,35,248,233,89,22,1
504,"44201","2010","2","","","","СеХ™МІ","СеХ™Оs","СеОЪМхЛg","",6288,252,289,341,317,251,287,321,411,466,429,344,337,390,578,469,336,219,124,43,9,2,73,283805,46.1645213194,882,3553,1780,733,178,10,2997,128,163,192,171,126,124,154,204,220,191,162,142,169,250,224,160,108,59,8,2,1,39,130556,44.6365787694,483,1663,812,338,70,4,3291,124,126,149,146,125,163,167,207,246,238,182,195,221,328,245,176,111,65,35,7,1,34,153249,47.5521952717,399,1890,968,395,108,6
505,"44201","201001","3","","","","СеХ™МІ","СеХ™Оs","СеОЪМхЛg","БiВ§ВњТЪОЪЦЉЦҐХ\О¶ЛжИжБj",1079,50,36,20,41,92,107,84,105,79,70,61,54,37,56,57,37,28,21,7,3,-,34,43715,42.3325358852,106,730,209,96,31,1,548,29,18,13,24,47,50,40,58,43,33,29,30,22,22,33,14,14,7,1,2,-,19,21500,41.1427221172,60,376,93,38,10,-,531,21,18,7,17,45,57,44,47,36,37,32,24,15,34,24,23,14,14,6,1,-,15,22215,43.5523255814,46,354,116,58,21,1
506,"44201","201002","3","","","","СеХ™МІ","СеХ™Оs","СеОЪМхЛg","ПђМіТcТn",1831,88,106,175,130,78,88,101,105,153,165,118,125,120,94,78,45,22,12,4,1,-,23,69991,39.2118362832,369,1183,256,84,17,6,835,43,65,98,60,35,39,44,51,64,60,53,54,51,40,31,19,12,6,-,-,-,10,30208,37.1157575758,206,511,108,37,6,2,996,45,41,77,70,43,49,57,54,89,105,65,71,69,54,47,26,10,6,4,1,-,13,39783,40.9710071211,163,672,148,47,11,4
507,"44201","201003","3","","","","СеХ™МІ","СеХ™Оs","СеОЪМхЛg","МхЛgСд",1793,76,80,67,80,40,51,70,123,124,89,76,71,124,278,189,115,72,39,17,4,-,8,89197,50.4703081232,223,848,714,247,60,1,845,36,42,31,46,22,19,35,60,59,40,36,25,44,125,98,66,33,20,3,-,-,5,41436,49.8285714286,109,386,345,122,23,1,948,40,38,36,34,18,32,35,63,65,49,40,46,80,153,91,49,39,19,14,4,-,3,47761,51.0407407407,114,462,369,125,37,-
508,"44201","201004","3","","","","СеХ™МІ","СеХ™Оs","СеОЪМхЛg","МхЛgРVТђ",1585,38,67,79,66,41,41,66,78,110,105,89,87,109,150,145,139,97,52,15,1,2,8,80902,51.8012048193,184,792,601,306,70,2,769,20,38,50,41,22,16,35,35,54,58,44,33,52,63,62,61,49,26,4,-,1,5,37412,49.4685863874,108,390,266,141,31,1,816,18,29,29,25,19,25,31,43,56,47,45,54,57,87,83,78,48,26,11,1,1,3,43490,53.9932349323,76,402,335,165,39,1
509,"44201","2021","2","","","","СеХ™МІ","СеХ™Оs","ЙкЧИЦk","",2787,161,102,92,121,272,327,249,254,206,178,159,126,120,113,74,68,56,19,11,4,1,74,102098,38.1328787320,355,2012,346,159,35,26,1387,90,53,57,50,135,155,108,139,103,94,77,64,62,56,34,31,27,8,3,1,-,40,49887,37.5356347439,200,987,160,70,12,14,1400,71,49,35,71,137,172,141,115,103,84,82,62,58,57,40,37,29,11,8,3,1,34,52211,38.7218155198,155,1025,186,89,23,12
510,"44201","202101","3","","","","СеХ™МІ","СеХ™Оs","ЙкЧИЦk","ВPТЪЦЏ",1048,49,31,26,41,83,106,89,76,68,75,73,59,55,70,41,43,33,10,6,2,-,12,43892,42.8667953668,106,725,205,94,18,10,523,24,17,15,18,51,51,36,44,34,44,36,29,25,33,15,21,19,2,2,-,-,7,21299,41.7771317829,56,368,92,44,4,5,525,25,14,11,23,32,55,53,32,34,31,37,30,30,37,26,22,14,8,4,2,-,5,22593,43.9480769231,50,357,113,50,14,5
511,"44201","202102","3","","","","СеХ™МІ","СеХ™Оs","ЙкЧИЦk","ВQТЪЦЏ",1595,107,67,60,73,183,208,148,164,126,95,74,56,55,36,29,19,21,7,4,2,1,60,52191,34.5006514658,234,1182,119,54,14,15,799,63,35,39,29,81,101,66,87,64,46,37,29,31,19,18,7,7,6,1,1,-,32,25890,34.2548891786,137,571,59,22,8,8,796,44,32,21,44,102,107,82,77,62,49,37,27,24,17,11,12,14,1,3,1,1,28,26301,34.7460937500,97,611,60,32,6,7
512,"44201","202103","3","","","","СеХ™МІ","СеХ™Оs","ЙкЧИЦk","ВRТЪЦЏ",144,5,4,6,7,6,13,12,14,12,8,12,11,10,7,4,6,2,2,1,-,-,2,6015,42.8591549296,15,105,22,11,3,1,65,3,1,3,3,3,3,6,8,5,4,4,6,6,4,1,3,1,-,-,-,-,1,2698,42.6562500000,7,48,9,4,-,1,79,2,3,3,4,3,10,6,6,7,4,8,5,4,3,3,3,1,2,1,-,-,1,3317,43.0256410256,8,57,13,7,3,-
513,"44201","2022","2","","","","СеХ™МІ","СеХ™Оs","ЙкЧИУм","",1587,81,96,98,71,117,138,99,121,144,113,80,76,65,95,47,50,26,21,6,2,-,41,59234,38.8143596378,275,1024,247,105,29,9,807,36,45,53,31,67,84,57,55,66,62,47,30,30,52,21,29,10,10,2,-,-,20,29903,38.4961880559,134,529,124,51,12,5,780,45,51,45,40,50,54,42,66,78,51,33,46,35,43,26,21,16,11,4,2,-,21,29331,39.1442687747,141,495,123,54,17,4
514,"44201","202201","3","","","","СеХ™МІ","СеХ™Оs","ЙкЧИУм","ВPТЪЦЏ",1047,48,62,63,44,91,105,67,78,102,73,53,48,36,60,27,29,14,14,4,-,-,29,38226,38.0500982318,173,697,148,61,18,5,549,21,29,35,18,56,66,40,40,45,42,34,18,18,33,11,17,6,5,2,-,-,13,19918,37.6604477612,85,377,74,30,7,4,498,27,33,28,26,35,39,27,38,57,31,19,30,18,27,16,12,8,9,2,-,-,16,18308,38.4834024896,88,320,74,31,11,1
515,"44201","202202","3","","","","СеХ™МІ","СеХ™Оs","ЙкЧИУм","ВQТЪЦЏ",528,33,33,33,27,25,33,32,42,41,40,27,26,29,35,18,21,11,6,2,2,-,12,20446,40.1240310078,99,322,95,42,10,4,253,15,16,18,13,10,18,17,15,20,20,13,11,12,19,9,12,4,4,-,-,-,7,9704,39.9471544715,49,149,48,20,4,1,275,18,17,15,14,15,15,15,27,21,20,14,15,17,16,9,9,7,2,2,2,-,5,10742,40.2851851852,50,173,47,22,6,3
516,"44201","202203","3","","","","СеХ™МІ","СеХ™Оs","ЙкЧИУм","ВRТЪЦЏ",12,-,1,2,-,1,-,-,1,1,-,-,2,-,-,2,-,1,1,-,-,-,-,562,47.3333333333,3,5,4,2,1,-,5,-,-,-,-,1,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,-,-,281,56.7000000000,-,3,2,1,1,-,7,-,1,2,-,-,-,-,1,-,-,-,1,-,-,1,-,1,-,-,-,-,-,281,40.6428571429,3,2,2,1,-,-
517,"44201","2023","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЙкЧИ","",982,39,57,55,42,24,17,46,75,72,46,50,49,76,89,60,71,58,33,14,3,1,5,47455,49.0721596725,151,497,329,180,51,1,455,18,25,22,27,13,8,19,42,35,27,21,24,34,39,28,25,32,11,3,-,-,2,21368,47.6699779249,65,250,138,71,14,1,527,21,32,33,15,11,9,27,33,37,19,29,25,42,50,32,46,26,22,11,3,1,3,26087,50.2843511450,86,247,191,109,37,-
518,"44201","2030","2","","","","СеХ™МІ","СеХ™Оs","СеОЪТЖФц","",585,17,25,28,40,16,10,22,18,25,45,27,30,53,51,43,48,43,27,15,1,-,1,30329,52.4332191781,70,286,228,134,43,-,264,11,16,11,22,9,4,8,11,11,18,13,13,25,24,19,21,10,13,3,1,-,1,12799,49.1653992395,38,134,91,48,17,-,321,6,9,17,18,7,6,14,7,14,27,14,17,28,27,24,27,33,14,12,-,-,-,17530,55.1105919003,32,152,137,86,26,-
519,"44201","2040","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЦмУc","",1021,27,55,87,34,20,25,38,74,81,78,53,38,53,78,67,43,63,52,33,19,1,2,50505,50.0632973503,169,494,356,211,105,-,500,17,29,53,21,11,16,20,39,39,37,28,24,21,44,36,17,16,19,10,2,-,1,22448,45.4859719439,99,256,144,64,31,-,521,10,26,34,13,9,9,18,35,42,41,25,14,32,34,31,26,47,33,23,17,1,1,28057,54.4557692308,70,238,212,147,74,-
520,"44201","2050","2","","","","СеХ™МІ","СеХ™Оs","СеОЪХљЙ°Р£","",100,1,1,1,3,2,1,-,3,4,6,7,3,11,12,13,12,10,5,5,-,-,-,6293,63.4300000000,3,40,57,32,10,-,50,-,1,1,3,-,1,-,2,2,3,5,2,4,6,7,6,4,2,1,-,-,-,2974,59.9800000000,2,22,26,13,3,-,50,1,-,-,-,2,-,-,1,2,3,2,1,7,6,6,6,6,3,4,-,-,-,3319,66.8800000000,1,18,31,19,7,-
521,"44201","2060","2","","","","СеХ™МІ","СеХ™Оs","СеОЪНСХ™","",1224,32,45,47,55,34,25,48,65,78,64,70,71,113,133,114,94,71,39,15,4,1,6,63697,52.7963875205,124,623,471,224,59,5,539,17,22,25,23,19,14,19,36,27,33,29,32,55,58,42,44,28,7,4,-,-,5,26649,50.4044943820,64,287,183,83,11,4,685,15,23,22,32,15,11,29,29,51,31,41,39,58,75,72,50,43,32,11,4,1,1,37048,54.6637426901,60,336,288,141,48,1
522,"44201","206001","3","","","","СеХ™МІ","СеХ™Оs","СеОЪНСХ™","БiВ§ВњТЪОЪЦЉЦҐХ\О¶ЛжИжБj",842,12,28,25,28,23,16,24,44,47,38,54,57,79,95,77,75,59,36,15,4,1,5,46592,56.1654719235,65,410,362,190,56,5,383,7,14,15,11,13,10,9,26,18,21,23,28,40,41,32,36,25,6,4,-,-,4,20094,53.5184696570,36,199,144,71,10,4,459,5,14,10,17,10,6,15,18,29,17,31,29,39,54,45,39,34,30,11,4,1,1,26498,58.3558951965,29,211,218,119,46,1
523,"44201","206002","3","","","","СеХ™МІ","СеХ™Оs","СеОЪНСХ™","НСХ™ТcТn",382,20,17,22,27,11,9,24,21,31,26,16,14,34,38,37,19,12,3,-,-,-,1,17105,45.3950131234,59,213,109,34,3,-,156,10,8,10,12,6,4,10,10,9,12,6,4,15,17,10,8,3,1,-,-,-,1,6555,42.7903225806,28,88,39,12,1,-,226,10,9,12,15,5,5,14,11,22,14,10,10,19,21,27,11,9,2,-,-,-,-,10550,47.1814159292,31,125,70,22,2,-
524,"44201","2070","2","","","","СеХ™МІ","СеХ™Оs","СеОЪУМЙ@","",406,16,18,22,14,14,12,14,19,29,10,21,41,34,34,27,25,27,21,6,2,-,-,20595,51.2266009852,56,208,142,81,29,1,191,11,10,11,6,5,5,8,7,17,4,10,18,17,18,14,9,11,8,1,1,-,-,9283,49.1020942408,32,97,62,30,10,-,215,5,8,11,8,9,7,6,12,12,6,11,23,17,16,13,16,16,13,5,1,-,-,11312,53.1139534884,24,111,80,51,19,1
525,"44201","2080","2","","","","СеХ™МІ","СеХ™Оs","СеОЪЛ{ЙС","",229,2,6,8,7,9,4,4,6,11,11,23,25,16,17,19,22,19,12,4,2,-,2,12888,57.2753303965,16,116,95,59,18,-,98,1,4,3,2,4,1,3,3,7,4,8,14,6,6,10,10,5,5,1,-,-,1,5326,55.4072164948,8,52,37,21,6,-,131,1,2,5,5,5,3,1,3,4,7,15,11,10,11,9,12,14,7,3,2,-,1,7562,58.6692307692,8,64,58,38,12,-
526,"44201","2090","2","","","","СеХ™МІ","СеХ™Оs","Х~МЋУМТђ","",1272,38,33,62,61,48,45,44,67,81,71,75,89,103,108,118,95,73,28,5,2,-,26,62455,50.6243980738,133,684,429,203,35,7,574,18,15,30,36,20,19,19,34,35,39,31,33,46,41,59,42,33,9,-,-,-,15,27318,49.3694096601,63,312,184,84,9,2,698,20,18,32,25,28,26,25,33,46,32,44,56,57,67,59,53,40,19,5,2,-,11,35137,51.6455604076,70,372,245,119,26,5
527,"44201","2100","2","","","","СеХ™МІ","СеХ™Оs","Х~МЋРЉТђ","",859,41,47,42,37,16,31,44,76,66,54,41,61,55,71,49,67,29,23,5,1,-,3,39725,46.9077102804,130,481,245,125,29,9,389,24,16,25,18,4,19,18,40,30,28,17,27,27,24,19,27,15,8,1,-,-,2,17211,44.9728682171,65,228,94,51,9,4,470,17,31,17,19,12,12,26,36,36,26,24,34,28,47,30,40,14,15,4,1,-,1,22514,48.5042643923,65,253,151,74,20,5
528,"44201","2110","2","","","","СеХ™МІ","СеХ™Оs","Х~МЋУмТђ","",454,16,15,15,28,6,12,20,31,23,22,20,25,32,46,47,35,32,20,6,1,-,2,23626,52.7699115044,46,219,187,94,27,4,199,8,4,8,10,2,4,11,13,12,8,6,12,12,25,20,18,14,8,3,1,-,-,10616,53.8467336683,20,90,89,44,12,3,255,8,11,7,18,4,8,9,18,11,14,14,13,20,21,27,17,18,12,3,-,-,2,13010,51.9229249012,26,129,98,50,15,1
529,"44201","2120","2","","","","СеХ™МІ","СеХ™Оs","Х~МЋЦkТђ","",1250,43,62,89,89,49,46,51,97,92,77,47,58,80,100,82,84,46,25,9,3,-,21,54915,45.1826688365,194,686,349,167,37,16,550,19,34,50,41,22,19,26,40,35,31,20,27,32,39,31,39,22,8,2,1,-,12,22958,43.1728624535,103,293,142,72,11,5,700,24,28,39,48,27,27,25,57,57,46,27,31,48,61,51,45,24,17,7,2,-,9,31957,46.7474674385,91,393,207,95,26,11
530,"44201","2130","2","","","","СеХ™МІ","СеХ™Оs","Х~МЋРVТђ","",1619,57,80,101,102,65,78,89,98,108,89,93,126,150,151,99,53,41,18,4,2,-,15,70388,44.3827930175,238,998,368,118,24,23,735,31,43,55,57,32,41,42,41,52,36,35,47,71,62,38,25,16,3,1,-,-,7,29906,41.5796703297,129,454,145,45,4,11,884,26,37,46,45,33,37,47,57,56,53,58,79,79,89,61,28,25,15,3,2,-,8,40482,46.7123287671,109,544,223,73,20,12
531,"44201","2140","2","","","","СеХ™МІ","СеХ™Оs","УМЦмСд","",851,19,18,18,18,16,19,48,46,36,31,50,78,113,129,75,67,39,21,8,2,-,-,46976,55.7009400705,55,455,341,137,31,4,399,13,8,10,14,8,8,19,19,17,17,18,35,44,70,40,28,17,13,1,-,-,-,21621,54.6879699248,31,199,169,59,14,2,452,6,10,8,4,8,11,29,27,19,14,32,43,69,59,35,39,22,8,7,2,-,-,25355,56.5951327434,24,256,172,78,17,2
532,"44201","214001","3","","","","СеХ™МІ","СеХ™Оs","УМЦмСд","ВPТЪЦЏ",361,6,5,11,8,1,6,25,20,10,15,25,38,45,57,30,26,19,10,3,1,-,-,20231,56.5415512465,22,193,146,59,14,2,154,4,1,5,6,-,1,10,7,3,7,7,17,18,30,14,9,9,5,1,-,-,-,8661,56.7402597403,10,76,68,24,6,1,207,2,4,6,2,1,5,15,13,7,8,18,21,27,27,16,17,10,5,2,1,-,-,11570,56.3937198068,12,117,78,35,8,1
